gene	mid	chrom	start	end
TARDBP	11078399.5	1	11072697	11084102
MASP2	11096930	1	11086578	11107282
SRM	11117363.5	1	11114644	11120083
EXOSC10	11143306.5	1	11126673	11159940
MTOR	11244578	1	11166590	11322566
ANGPTL7	11252718	1	11249396	11256040
PTCHD2	11568468	1	11539293	11597643
FBXO2	11711581.5	1	11708422	11714741
FBXO44	11719149	1	11714912	11723386
FBXO6	11729296	1	11724179	11734413
MAD2L2	11743122	1	11734535	11751709
DRAXIN	11768850	1	11751784	11785916
AGTRAP	11803517	1	11796210	11810824
C1orf167	11835742.5	1	11821842	11849643
MTHFR	11854541	1	11845778	11863304
CLCN6	11884734.5	1	11866266	11903203
NPPA	11906803	1	11905764	11907842
NPPB	11918254.5	1	11917519	11918990
KIAA2013	11983064	1	11979646	11986482
PLOD1	12015202	1	11994808	12035596
MFN2	12056967	1	12040367	12073567
MIIP	12085812.5	1	12079521	12092104
TNFRSF8	12163849	1	12123432	12204266
TNFRSF1B	12248172.5	1	12227058	12269287
VPS13D	12431111.5	1	12290122	12572101
DHRS3	12652838	1	12627937	12677739
AADACL4	12715831.5	1	12704564	12727099
AADACL3	12781054.5	1	12776144	12785965
C1orf158	12815005	1	12806161	12823849
PRAMEF12	12836516.5	1	12834982	12838051
PRAMEF1	12854161.5	1	12851544	12856779
PRAMEF11	12887866	1	12884466	12891266
HNRNPCL1	12907919.5	1	12907259	12908580
PRAMEF2	12919352.5	1	12916939	12921766
PRAMEF4	12942535	1	12939043	12946027
PRAMEF10	12955414	1	12952725	12958103
PRAMEF7	12978509.5	1	12976448	12980571
PRAMEF6	13002800.5	1	12998179	13007422
PRAMEF22	13036962	1	13035541	13038383
WI2-3308P17.2	13052696	1	13052392	13053000
PRAMEF26	13217968.5	1	13216354	13219583
PRAMEF3	13329944	1	13328194	13331694
PRAMEF5	13364438	1	13359817	13369059
PRAMEF9	13424683.5	1	13421174	13428193
PRAMEF13	13450035	1	13447412	13452658
PRAMEF18	13476105.5	1	13474687	13477524
PRAMEF16	13496757	1	13495252	13498262
PRAMEF14	13671127	1	13668741	13673513
PRAMEF19	13696647	1	13694887	13698407
PRAMEF17	13717590.5	1	13716090	13719091
PRAMEF20	13742355	1	13736905	13747805
PDPN	13927206	1	13909958	13944454
PRDM2	14091462	1	14031348	14151576
KAZN	15184869.5	1	14925198	15444541
TMEM51	15513000.5	1	15479026	15546975
FHAD1	15649195	1	15573766	15724624
RP3-467K16.2	15661774	1	15653174	15670374
EFHD2	15746615	1	15736389	15756841
CTRC	15769042	1	15764933	15773151
CELA2A	15790905	1	15783222	15798588
CELA2B	15810245.5	1	15802594	15817897
CASP9	15834777.5	1	15818763	15850792
DNAJC16	15875768	1	15853306	15898230
AGMAT	15905226.5	1	15898846	15911607
RNU7-179P	15934606.5	1	15934571	15934642
DDI2	15969767	1	15943993	15995541
PLEKHM2	16036045.5	1	16010825	16061266
SLC25A34	16065395.5	1	16062898	16067893
TMEM82	16071697	1	16068915	16074479
FBLIM1	16099001.5	1	16084912	16113091
RP11-169K16.9	16167808	1	16160972	16174644
SPEN	16220657	1	16174357	16266957
ZBTB17	16285492.5	1	16268362	16302623
HSPB7	16342904	1	16340521	16345287
CLCNKA	16354546	1	16348545	16360547
CLCNKB	16377037.5	1	16370270	16383805
FAM131C	16392192.5	1	16384262	16400123
EPHA2	16466707	1	16450830	16482584
ARHGEF19	16531851.5	1	16524597	16539106
RSG1	16560926	1	16558193	16563659
FBXO42	16626141.5	1	16573332	16678951
SZRD1	16709107.5	1	16693576	16724639
SPATA21	16744528.5	1	16725136	16763921
NECAP2	16776901.5	1	16767229	16786574
CROCCP3	16806563.5	1	16793929	16819198
NBPF1	16914398	1	16888812	16939984
CROCCP2	16952905.5	1	16944755	16961056
ESPNP	17032182.5	1	17017711	17046654
MST1L	17083386	1	17081403	17085369
RP11-108M9.2	17183840.5	1	17181900	17185781
U1	8872647	1	544946	17200348
RNU1-2	17222556.5	1	17222473	17222640
CROCC	17273959.5	1	17248443	17299476
MFAP2	17304163.5	1	17300995	17307332
ATP13A2	17325360	1	17312451	17338269
SDHB	17362941	1	17345215	17380667
PADI2	17419593	1	17393254	17445932
RP11-380J14.1	17520195	1	17516276	17524114
PADI1	17552060.5	1	17531619	17572502
PADI3	17593160.5	1	17575591	17610730
PADI4	17662595.5	1	17634690	17690501
PADI6	17713443	1	17698689	17728197
RCC2	17749738	1	17733254	17766222
ARHGEF10L	17945347	1	17866328	18024366
RP11-473A10.2	18060327.5	1	18044180	18076475
ACTL8	18117683	1	18081806	18153560
RP11-174G17.2	18396528.5	1	18392149	18400908
IGSF21	18569608	1	18434238	18704978
PAX7	19016430	1	18957498	19075362
TAS1R2	19176134.5	1	19166091	19186178
ALDH4A1	19213600.5	1	19197924	19229277
IFFO2	19256977.5	1	19230773	19283182
UBR4	19468885	1	19400998	19536772
EMC1	19560102	1	19542156	19578048
MRTO4	19582327.5	1	19578031	19586624
AKR7L	19596523	1	19592476	19600570
AKR7A3	19612398	1	19609050	19615746
AKR7A2	19634549.5	1	19630457	19638642
PQLC2	19647298	1	19638820	19655776
CAPZB	19738648	1	19665315	19811981
MINOS1	19939899	1	19923482	19956316
NBL1	19976674	1	19969724	19983624
HTR6	19998917.5	1	19991778	20006057
TMCO4	20067558	1	20008704	20126412
OTUD3	20224222	1	20209004	20239440
PLA2G2E	20248306	1	20246500	20250112
PLA2G2A	20304420	1	20301929	20306911
PLA2G5	20407181	1	20396699	20417663
PLA2G2D	20442241	1	20438430	20446052
PLA2G2F	20471349	1	20465817	20476881
PLA2G2C	20495831.5	1	20487744	20503919
UBXN10	20517559.5	1	20512576	20522543
VWA5B1	20649084	1	20617410	20680758
LINC01141	20721173.5	1	20687070	20755277
CAMK2N1	20810798.5	1	20808882	20812715
MUL1	20830298.5	1	20825941	20834656
CDA	20930421	1	20915439	20945403
PINK1	20968976	1	20959946	20978006
DDOST	20983135	1	20978268	20988002
KIF17	21017509.5	1	20990507	21044512
SH2D5	21053525	1	21048019	21059031
HP1BP3	21091167.5	1	21069152	21113183
EIF4G3	21318159.5	1	21132974	21503345
ECE1	21581667	1	21546350	21616984
NBPF3	21789011.5	1	21766629	21811394
ALPL	21870385	1	21835863	21904907
RAP1GAP	21959251	1	21922706	21995796
USP48	22057585.5	1	22005070	22110101
LDLRAD2	22145236	1	22138756	22151716
HSPG2	22206264	1	22148736	22263792
CELA3B	22309675.5	1	22303512	22315839
CELA3A	22333582	1	22328147	22339017
CDC42	22399299	1	22379159	22419439
WNT4	22456628.5	1	22443796	22469461
ZBTB40	22817997	1	22778342	22857652
EPHA8	22910072	1	22890055	22930089
C1QA	22964550	1	22962997	22966103
C1QC	22972364.5	1	22970124	22974605
C1QB	22983855.5	1	22979680	22988031
EPHB2	23139113	1	23037461	23240765
LACTBL1	23285683.5	1	23279534	23291833
KDM1A	23378083.5	1	23345984	23410183
LUZP1	23457412	1	23410521	23504303
HTR1D	23519805	1	23518386	23521224
HNRNPR	23653539.5	1	23636274	23670805
ZNF436	23690938	1	23685939	23695937
C1orf213	23697002	1	23695727	23698277
TCEA3	23729393.5	1	23707552	23751235
ASAP3	23782863.5	1	23755054	23810673
E2F2	23845317	1	23832920	23857714
ID3	23885347	1	23884407	23886287
MDS2	23960441	1	23953822	23967060
RPL11	24020592	1	24018267	24022917
TCEB3	24079097	1	24069643	24088551
PITHD1	24109808.5	1	24104893	24114724
LYPLA2	24119744.5	1	24117458	24122031
GALE	24124491	1	24122088	24126894
HMGCL	24140162	1	24128373	24151951
FUCA1	24183175.5	1	24171565	24194786
CNR2	24241283	1	24197015	24285551
SRSF10	24301831.5	1	24296852	24306811
MYOM3	24410596	1	24382525	24438667
IL22RA1	24457936	1	24446259	24469613
IFNLR1	24497199	1	24480645	24513753
RP11-10N16.2	24532456.5	1	24526728	24538185
GRHL3	24668443.5	1	24645913	24690974
STPG1	24712538	1	24683487	24741589
NIPAL3	24769040.5	1	24742282	24795799
RCAN3	24848458.5	1	24829385	24867532
NCMAP	24909209	1	24882600	24935818
SRRM1	24984630.5	1	24969501	24999760
CLIC4	25121331.5	1	25071846	25170817
RUNX3	25258751.5	1	25226000	25291503
SYF2	25554077	1	25549168	25558986
C1orf63	25571369	1	25568726	25574012
RHD	25627910	1	25598882	25656938
TMEM50A	25676630	1	25664406	25688854
RHCE	25718038	1	25688738	25747338
TMEM57	25792055.5	1	25757409	25826702
LDLRAP1	25882724	1	25870069	25895379
MAN1C1	26028328.5	1	25943957	26112700
SEPN1	26135690	1	26126665	26144715
MTFR1L	26153056.5	1	26146682	26159431
AUNIP	26173200	1	26160495	26185905
STMN1	26222444	1	26211929	26232959
PAFAH2	26305453	1	26286256	26324650
EXTL1	26355613	1	26348269	26362957
SLC30A2	26368568.5	1	26364511	26372626
TRIM63	26385959.5	1	26377793	26394126
PDIK1L	26445181	1	26438326	26452036
FAM110D	26487315	1	26485509	26489121
ZNF593	26497456.5	1	26496360	26498553
CNKSR1	26510135.5	1	26503892	26516379
CATSPER4	26523255.5	1	26517050	26529461
CEP85	26582996	1	26560691	26605301
SH3BGRL3	26606837	1	26605665	26608009
UBXN11	26626814.5	1	26608773	26644856
AIM1L	26659463	1	26648348	26670578
ZNF683	26693696	1	26688124	26699268
LIN28A	26746741	1	26737267	26756215
DHDDS	26778315.5	1	26758844	26797787
HMGN2	26800736.5	1	26799008	26802465
RPS6KA1	26878887	1	26856256	26901518
ARID1A	27065559.5	1	27022522	27108597
PIGV	27119785	1	27114684	27124886
ZDHHC18	27168646.5	1	27153199	27184094
GPN2	27209706	1	27202622	27216790
GPATCH3	27221968.5	1	27216978	27226959
NR0B2	27239218.5	1	27237978	27240459
NUDC	27260785	1	27248215	27273355
C1orf172	27281475	1	27276051	27286899
FAM46B	27335419	1	27331509	27339329
SLC9A1	27453353.5	1	27425304	27481403
WDTC1	27597947	1	27561157	27634737
TMEM222	27655771	1	27648649	27662893
SYTL1	27675892.5	1	27671362	27680423
MAP3K6	27687531.5	1	27681678	27693385
FCN3	27698459	1	27695601	27701317
CD164L2	27707729.5	1	27705664	27709795
GPR3	27720733	1	27719146	27722320
WASF2	27773699.5	1	27730728	27816671
AHDC1	27895478.5	1	27860812	27930145
FGR	27950181.5	1	27938573	27961790
IFI6	27995632	1	27992573	27998691
FAM76A	28069830	1	28052566	28087094
STX12	28125328.5	1	28099692	28150965
PPP1R8	28167738	1	28157287	28178189
THEMIS2	28206131.5	1	28199077	28213186
RPA2	28229644.5	1	28218033	28241256
SMPDL3B	28273586	1	28261502	28285670
XKR8	28290290	1	28285971	28294609
EYA3	28356031	1	28296853	28415209
PTAFR	28488688	1	28473675	28503701
DNAJC8	28543302	1	28527066	28559538
ATPIF1	28563627.5	1	28562642	28564613
SESN2	28597520	1	28586036	28609004
MED18	28659012.5	1	28655547	28662478
PHACTR4	28761497.5	1	28696112	28826883
RCC1	28854722.5	1	28844767	28864678
TRNAU1AP	28892324	1	28879595	28905053
RAB42	28920333.5	1	28918710	28921957
TAF12	28949565	1	28929611	28969519
GMEB1	29018338.5	1	28995290	29041387
YTHDF2	29079779	1	29063269	29096289
OPRD1	29164431	1	29138652	29190210
EPB41	29330067.5	1	29213601	29446534
TMEM200B	29447479.5	1	29445944	29449015
SRSF4	29491377	1	29474253	29508501
MECR	29538886.5	1	29520327	29557446
PTPRU	29607600.5	1	29563026	29652175
RP3-437I16.1	29666379	1	29656130	29676628
RP5-893G23.1	30613782	1	30613108	30614456
MATN1	31190279	1	31184122	31196436
LAPTM5	31217991.5	1	31205314	31230669
RP5-1125N11.1	31285812.5	1	31283223	31288402
SDC3	31363795	1	31345980	31381610
PUM1	31472107.5	1	31405671	31538544
NKAIN1	31682496.5	1	31652590	31712403
SNRNP40	31751017	1	31732415	31769619
ZCCHC17	31803819	1	31769853	31837785
FABP3	31842197.5	1	31838470	31845925
SERINC2	31894968	1	31882410	31907526
AC114494.1	31902403	1	31902190	31902616
TINAGL1	32047711.5	1	32042134	32053289
HCRTR1	32088110	1	32083299	32092921
PEF1	32102975.5	1	32095461	32110490
COL16A1	32143884	1	32117846	32169922
BAI2	32211177	1	32192716	32229638
SPOCD1	32268838.5	1	32256023	32281654
PTP4A2	32388005	1	32372020	32403990
KHDRBS1	32494456.5	1	32479428	32509485
RP11-277A4.4	32528483.5	1	32517890	32539077
TMEM39B	32553482.5	1	32538501	32568464
KPNA6	32607904	1	32573637	32642171
TXLNA	32654776	1	32645664	32663888
CCDC28B	32668487.5	1	32665985	32670990
IQCC	32672762	1	32671234	32674290
DCDC2B	32678246	1	32674693	32681799
TMEM234	32684862	1	32681796	32687928
EIF3I	32692588	1	32687969	32697207
FAM167B	32713645.5	1	32712832	32714459
LCK	32734303	1	32716838	32751768
HDAC1	32778461.5	1	32757685	32799238
MARCKSL1	32800706.5	1	32799431	32801982
FAM229A	32827357.5	1	32826869	32827846
BSDC1	32846054.5	1	32832076	32860033
ZBTB8B	32946478.5	1	32930668	32962289
ZBTB8A	33038284	1	33005026	33071542
ZBTB8OS	33101303	1	33086419	33116187
RBBP4	33134280.5	1	33116747	33151814
SYNC	33157340.5	1	33145959	33168722
KIAA1522	33224028.5	1	33207484	33240573
YARS	33262297	1	33240838	33283756
S100PBP	33303816	1	33283154	33324478
FNDC5	33332142	1	33327868	33336416
HPCA	33356141.5	1	33352034	33360249
TMEM54	33363577.5	1	33360194	33366961
RNF19B	33416166	1	33402044	33430288
AK2	33490619	1	33478643	33502595
ADC	33566354.5	1	33546712	33585997
TRIM62	33629135	1	33611001	33647269
ZNF362	33744247	1	33722172	33766322
A3GALT2	33779533	1	33772365	33786701
PHC2	33815210.5	1	33789225	33841196
ZSCAN20	33950176.5	1	33938244	33962109
CSMD2	34305244	1	33979611	34630877
HMGB4	34328246.5	1	34326099	34330394
C1orf94	34664001.5	1	34643269	34684734
GJB5	35222380.5	1	35220646	35224115
GJB4	35227333.5	1	35225340	35229327
GJA4	35259973.5	1	35258597	35261350
SMIM12	35321843.5	1	35318268	35325419
DLGAP3	35363111.5	1	35331035	35395188
ZMYM6NB	35449045	1	35447134	35450956
ZMYM6	35475075	1	35452579	35497571
ZMYM1	35563226	1	35544990	35581462
SFPQ	35653641	1	35648531	35658751
ZMYM4	35811056.5	1	35734566	35887547
KIAA0319L	35961052.5	1	35899089	36023016
NCDN	36027891.5	1	36023407	36032376
TFAP2E	36049950	1	36038969	36060931
PSMB2	36087315	1	36067183	36107447
C1orf216	36182274.5	1	36179474	36185075
CLSPN	36218767.5	1	36202004	36235531
AGO4	36298632	1	36273771	36323493
AGO1	36372010.5	1	36348808	36395213
AGO3	36467390	1	36396677	36538103
TEKT2	36551776	1	36549674	36553878
ADPRHL2	36557004.5	1	36554474	36559535
COL8A2	36575829	1	36560835	36590823
TRAPPC3	36608621.5	1	36602171	36615072
MAP7D1	36634122	1	36621801	36646443
THRAP3	36730487.5	1	36690015	36770960
SH3D21	36779471	1	36771992	36786950
EVA1B	36788693.5	1	36787630	36789757
STK40	36828355	1	36805223	36851487
LSM10	36861262	1	36859029	36863495
OSCP1	36899779.5	1	36883505	36916054
MRPS15	36925678.5	1	36921317	36930040
CSF3R	36940261.5	1	36931642	36948881
GRIK3	37380427	1	37261126	37499728
RP5-1180C18.1	37759520.5	1	37728338	37790703
ZC3H12A	37945066.5	1	37940151	37949982
MEAF6	37969270	1	37958174	37980366
SNIP1	38009976.5	1	38000048	38019905
DNALI1	38027489	1	38022518	38032460
GNL2	38046969.5	1	38032415	38061524
RSPO1	38088721	1	38076949	38100493
C1orf109	38151717	1	38147240	38156194
CDCA8	38166740.5	1	38158088	38175393
EPHA10	38206192	1	38181644	38230740
MANEAL	38263139.5	1	38259472	38266807
YRDC	38271236.5	1	38268614	38273859
C1orf122	38274472	1	38273816	38275128
MTF1	38300265.5	1	38275237	38325294
INPP5B	38370240	1	38327755	38412725
SF3A3	38439620	1	38422645	38456595
FHL3	38466809.5	1	38462440	38471179
UTP11L	38484455	1	38478412	38490498
RP5-884C9.2	38542196	1	38512984	38571408
RRAGC	39314682.5	1	39303868	39325497
MYCBP	39334206.5	1	39328634	39339779
RHBDL2	39372238.5	1	39351966	39392511
AKIRIN1	39464313	1	39456893	39471733
NDUFS5	39496149	1	39491988	39500310
MACF1	39750911.5	1	39549032	39952791
KIAA0754	39879152.5	1	39876149	39882156
BMP8A	39974462.5	1	39957316	39991609
PABPC4	40034280.5	1	40026486	40042075
HEYL	40097721	1	40089823	40105619
NT5C1A	40131251.5	1	40124791	40137712
HPCAL4	40150840.5	1	40144318	40157363
PPIE	40217079.5	1	40204571	40229588
BMP8B	40238693.5	1	40222852	40254535
TRIT1	40327950.5	1	40306721	40349180
MYCL	40364391.5	1	40361096	40367687
MFSD2A	40428230	1	40420820	40435640
CAP1	40522113	1	40505903	40538323
PPT1	40550877	1	40538377	40563377
RLF	40666819	1	40627043	40706595
ZMPSTE24	40741817.5	1	40723777	40759858
COL9A2	40774562.5	1	40766157	40782968
SMAP2	40875219.5	1	40862505	40887934
ZFP69B	40922584.5	1	40915777	40929392
ZFP69	40952451	1	40942885	40962017
ZNF684	41005537	1	40997231	41013843
RIMS3	41108840	1	41086349	41131331
RP4-739H11.3	41144010.5	1	41134759	41153262
NFYC	41197099.5	1	41157386	41236813
KCNQ4	41277904	1	41249682	41306126
CTPS1	41461621	1	41445005	41478237
SLFNL1	41485089	1	41481267	41488911
SCMH1	41600330	1	41492870	41707790
RP11-399E6.1	41729390	1	41708245	41750535
EDN2	41947394	1	41944444	41950344
HIVEP3	42178102.5	1	41972034	42384171
GUCA2B	42620293.5	1	42619090	42621497
GUCA2A	42629375.5	1	42628360	42630391
FOXJ3	42721423	1	42642208	42800638
RIMKLA	42867363	1	42846475	42888251
ZMYND12	42908969	1	42895998	42921940
PPCS	42924157.5	1	42922228	42926087
CCDC30	43024438.5	1	42929023	43119854
PPIH	43133262.5	1	43124094	43142431
YBX1	43158059	1	43148096	43168022
CLDN19	43202344.5	1	43198762	43205927
LEPRE1	43222364.5	1	43212044	43232685
C1orf50	43248407.5	1	43232938	43263877
CCDC23	43277825	1	43272725	43282925
ERMAP	43296728	1	43282800	43310656
ZNF691	43314952.5	1	43312305	43317600
SLC2A1	43407776.5	1	43391050	43424503
SLC2A1-AS1	43436874.5	1	43424718	43449031
FAM183A	43617845	1	43613621	43622069
EBNA1BP2	43634043.5	1	43629844	43638243
WDR65	43678924.5	1	43637818	43720031
TMEM125	43737684.5	1	43735694	43739675
C1orf210	43749402	1	43747552	43751252
TIE1	43777721.5	1	43766662	43788781
MPL	43810960.5	1	43803476	43818445
CDC20	43826779	1	43824682	43828876
ELOVL1	43831378.5	1	43829066	43833691
MED8	43852533.5	1	43849586	43855481
SZT2	43886972	1	43855638	43918306
HYI	43918242	1	43916822	43919662
PTPRF	44042942	1	43996545	44089339
KDM4A	44143507.5	1	44115827	44171188
ST3GAL3	44285024	1	44173216	44396832
ARTN	44400951.5	1	44398990	44402913
IPO13	44423152.5	1	44412609	44433696
DPH2	44437358.5	1	44435674	44439043
ATP6V0B	44442143	1	44440318	44443968
B4GALT2	44450905	1	44445657	44456153
CCDC24	44459740	1	44457278	44462202
SLC6A9	44479606.5	1	44462153	44497060
RP5-1198O20.4	44540123.5	1	44509598	44570649
KLF17	44592667	1	44584520	44600814
DMAP1	44682758	1	44679161	44686355
ERI3	44753811	1	44686740	44820882
RNF220	44994130.5	1	44870864	45117397
TMEM53	45129573	1	45118917	45140229
C1orf228	45165824	1	45140383	45191265
KIF2C	45219465.5	1	45205490	45233441
RPS8	45242780	1	45241107	45244453
BEST4	45251317	1	45249255	45253379
PLK3	45268779.5	1	45265895	45271664
TCTEX1D4	45272272.5	1	45271586	45272959
BTBD19	45276977.5	1	45274152	45279803
PTCH2	45298170	1	45287603	45308737
EIF2B3	45384366	1	45316448	45452284
HECTD3	45472606.5	1	45468210	45477003
UROD	45479533	1	45477817	45481249
ZSWIM5	45577149.5	1	45482069	45672230
MUTYH	45800487	1	45794912	45806062
TOE1	45807494.5	1	45805340	45809649
TESK2	45883196.5	1	45809553	45956840
CCDC163P	45963704	1	45961881	45965527
MMACHC	45971232	1	45965723	45976741
PRDX1	45982158.5	1	45976706	45987611
AKR1A1	46025968	1	46016213	46035723
NASP	46067149	1	46049730	46084568
CCDC17	46087756	1	46085781	46089731
GPBP1L1	46122640	1	46092976	46152304
TMEM69	46156500.5	1	46152884	46160117
IPP	46190352	1	46164381	46216323
MAST2	46385540.5	1	46269283	46501798
PIK3R3	46552063	1	46505810	46598316
TSPAN1	46646194.5	1	46640757	46651632
POMGNT1	46670166	1	46654353	46685979
RAD54L	46728774	1	46713402	46744146
LRRC41	46756676	1	46744070	46769282
UQCRH	46775875.5	1	46769301	46782450
NSUN4	46816856	1	46805847	46827865
FAAH	46869727	1	46859935	46879519
RP5-1109J22.1	46906505	1	46901815	46911195
RP5-1109J22.2	46913860.5	1	46912343	46915378
LINC00505	46934821	1	46921493	46948149
DMBX1	46976283.5	1	46972667	46979900
MKNK1-AS1	47020147.5	1	47004366	47035929
KNCN	47014993.5	1	47013098	47016889
MKNK1	47046488	1	47023088	47069888
MOB3C	47077098	1	47073389	47080807
ATPAF1	47116267.5	1	47098407	47134128
TEX38	47138383	1	47137498	47139268
EFCAB14	47162783.5	1	47140829	47184738
CYP4B1	47274869.5	1	47264716	47285023
CYP4Z2P	47337438	1	47308765	47366111
CYP4A11	47400993	1	47394847	47407139
CYP4X1	47502831.5	1	47489238	47516425
